Date,High,Low,Open,Close,Volume,Name,Day,Month,Year
29-04-20,20676.07617,18647.00977,19374.93359,18840.83008,4.12083E+11,1,29,4,2020
30-04-20,19805.4082,18847.86133,18847.86133,19513.07813,2.65733E+11,1,30,4,2020
01-05-20,19883.69727,19135.73047,19513.33008,19866.12891,2.32266E+11,1,1,5,2020
02-05-20,20101.77148,18738.5957,19865.5332,19075.50391,2.89313E+11,1,2,5,2020
03-05-20,19146.83789,18212.8125,19066.75,18567.33203,2.82223E+11,1,3,5,2020
04-05-20,18870.02148,18313.73438,18562.76758,18575.02539,2.53316E+11,1,4,5,2020
05-05-20,19275.61523,18452.43555,18553.85352,18737.3457,2.52718E+11,1,5,5,2020
06-05-20,19377.70508,18347.62305,18743.24805,19129.51758,2.77839E+11,1,6,5,2020
07-05-20,19989.19336,18685.71484,19118.88477,19732.50586,3.00227E+11,1,7,5,2020
08-05-20,20723.14258,19599.82422,19702.70117,20094.42969,3.55746E+11,1,8,5,2020
09-05-20,20112.79688,17067.95898,20112.79688,17584.07227,3.84062E+11,1,9,5,2020
10-05-20,17857.2168,16827.91602,17598.61914,17841.88672,3.22866E+11,1,10,5,2020
11-05-20,18036.19141,17316.00391,17871.33203,17569.99609,2.50171E+11,1,11,5,2020
12-05-20,18121.97852,17416.03516,17566.66797,18041.33203,2.22973E+11,1,12,5,2020
13-05-20,18428.08008,17776.3457,18012.36133,18258.97461,2.9311E+11,1,13,5,2020
14-05-20,18290.15625,17728.48438,18254.01172,17870.0918,2.3737E+11,1,14,5,2020
15-05-20,18203.75391,17764.89258,17872.42578,17955.99023,2.13379E+11,1,15,5,2020
16-05-20,18586.93945,17910.2793,17946.63477,18289.59766,2.23369E+11,1,16,5,2020
17-05-20,19179.5293,18271.10742,18298.83789,18738.07031,2.45534E+11,1,17,5,2020
18-05-20,18884.80469,18392.46484,18747.10156,18619.54492,2.153E+11,1,18,5,2020
19-05-20,18720.39063,17962.80469,18607.1875,18093.54883,2.11014E+11,1,19,5,2020
20-05-20,18252.16211,16812.68945,18090.51367,17275.17969,2.33272E+11,1,20,5,2020
21-05-20,17893.23633,17084.01758,17272.29102,17821.0918,2.04455E+11,1,21,5,2020
22-05-20,18127.51563,17657.43945,17825.31641,17857.12695,1.82628E+11,1,22,5,2020
23-05-20,18013.20703,17079.4375,17858.07813,17086.12305,1.95811E+11,1,23,5,2020
24-05-20,17584.42188,16958.57422,17060.06836,17496.01367,1.82522E+11,1,24,5,2020
25-05-20,17522.9707,16963.44141,17495.86328,17152.9043,1.96615E+11,1,25,5,2020
26-05-20,17718.0957,17161.91211,17157.25391,17723.23633,2.35876E+11,1,26,5,2020
27-05-20,18167.42188,17485.47461,17727.66016,18123.14648,2.49491E+11,1,27,5,2020
28-05-20,18346.53906,17812.55078,18127.25586,17985.72461,2.51346E+11,1,28,5,2020
29-05-20,19014.26367,17841.62891,17987.70508,18978.94531,3.01126E+11,1,29,5,2020
30-05-20,18977.45508,18032.18359,18977.45508,18116.2793,2.5613E+11,1,30,5,2020
31-05-20,19334.66602,18058.28906,18114.0293,19282.5625,2.61849E+11,1,31,5,2020
01-06-20,20016.70117,18443.60742,19267.40039,18695.44141,3.41813E+11,1,1,6,2020
02-06-20,18993.25586,18516.29102,18696.08203,18987.43555,2.32737E+11,1,2,6,2020
03-06-20,19531.11914,18799.9375,18993.07031,19368.92188,2.01889E+11,1,3,6,2020
04-06-20,19820.55078,19303.55273,19369.43164,19401.59375,1.72657E+11,1,4,6,2020
05-06-20,19580.98242,19047.42188,19401.17773,19138.23242,1.35205E+11,1,5,6,2020
06-06-20,19321.17773,18655.95117,19141.25781,19206.86914,1.53283E+11,1,6,6,2020
07-06-20,19417.58789,19016.72266,19199.54688,19237.0293,1.44132E+11,1,7,6,2020
08-06-20,19307.18555,19062.75,19237.5293,19278.07227,1.88426E+11,1,8,6,2020
09-06-20,19523.60742,19181.99609,19277.41797,19468.78516,1.32552E+11,1,9,6,2020
10-06-20,19525.52734,17947.04883,19467.31445,17963.33594,1.79117E+11,1,10,6,2020
11-06-20,18516.0293,17864.12109,17962.96094,18399.73047,1.19663E+11,1,11,6,2020
12-06-20,18416.19336,18114.63867,18403.06836,18317.87891,94910058454,1,12,6,2020
13-06-20,18319.62695,18033.23633,18314.42773,18135.6543,98223531213,1,13,6,2020
14-06-20,18188.16211,17217.91211,18135.6543,17951.51563,1.31863E+11,1,14,6,2020
15-06-20,18155.39258,17977.5957,17949.95703,18148.11328,1.0977E+11,1,15,6,2020
16-06-20,18413.27344,17998.30859,18149.42188,18366.65234,1.08717E+11,1,16,6,2020
